区划代码	行政区划全称	简称	区划类别	批注	省名	首府驻地	首府级别
110000	北京市	京	直辖市	首都	北京	通州区	县区
120000	天津市	津	直辖市		天津	河西区	县区
130000	河北省	冀	省		河北	石家庄市	地市级
140000	山西省	晋	省		山西	太原市	地市级
150000	内蒙古自治区	蒙	自治区	1947年成立自治区	内蒙古	呼和浩特市	地市级
210000	辽宁省	辽	省		辽宁	沈阳市	副省级
220000	吉林省	吉	省		吉林	长春市	副省级
230000	黑龙江省	黑	省		黑龙江	哈尔滨市	副省级
310000	上海市	沪	直辖市		上海	黄浦区	县区
320000	江苏省	苏	省		江苏	南京市	副省级
330000	浙江省	浙	省		浙江	杭州市	副省级
340000	安徽省	皖	省		安徽	合肥市	地市级
350000	福建省	闽	省		福建	福州市	地市级
360000	江西省	赣	省		江西	南昌市	地市级
370000	山东省	鲁	省		山东	济南市	副省级
410000	河南省	豫	省		河南	郑州市	地市级
420000	湖北省	鄂楚	省		湖北	武汉市	副省级
430000	湖南省	湘	省		湖南	长沙市	地市级
440000	广东省	粤	省		广东	广州市	副省级
450000	广西壮族自治区	桂	自治区	1958年成立自治区	广西	南宁市	地市级
460000	海南省	琼	省	1988年建省	海南	海口市	地市级
500000	重庆市	渝	直辖市	1997年设立直辖市	重庆	渝中区	县区
510000	四川省	川蜀	省		四川	成都市	副省级
520000	贵州省	贵黔	省		贵州	贵阳市	地市级
530000	云南省	云滇	省		云南	昆明市	地市级
540000	西藏自治区	藏	自治区	1965年成立自治区	西藏	拉萨市	地市级
610000	陕西省	陕秦	省		陕西	西安市	副省级
620000	甘肃省	甘陇	省		甘肃	兰州市	地市级
630000	青海省	青	省		青海	西宁市	地市级
640000	宁夏回族自治区	宁	自治区	1958年成立自治区	宁夏	银川市	地市级
650000	新疆维吾尔自治区	新	自治区	1955年成立自治区	新疆	乌鲁木齐市	地市级
659000	新疆生产建设兵团		省级单位	1954年成立	新疆兵团	乌鲁木齐市	地级市
710000	台湾省	台	省	革命尚未成功	台湾	台北市	
810000	香港特别行政区	港	特别行政区	1997年回归祖国	香港		
820000	澳门特别行政区	澳	特别行政区	1999年回归祖国	澳门		
